2024-08-16T20:35:38.614595+00:00 linux sshd[4799]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 57622 ssh2
2024-08-16T20:35:42.187900+00:00 linux sshd[4799]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 57622 ssh2
2024-08-16T20:35:45.964229+00:00 linux sshd[4799]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 57622 ssh2
2024-08-16T20:35:51.583814+00:00 linux sshd[4802]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 33038 ssh2
2024-08-16T20:35:55.473883+00:00 linux sshd[4802]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 33038 ssh2
2024-08-16T20:35:55.854072+00:00 linux sshd[4804]: Failed password for invalid u                                                                                                             ser ERPNext from 170.64.227.139 port 48236 ssh2
2024-08-16T20:35:59.235180+00:00 linux sshd[4802]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 33038 ssh2
2024-08-16T20:36:02.464680+00:00 linux sshd[4802]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 33038 ssh2
2024-08-16T20:36:06.359792+00:00 linux sshd[4802]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 33038 ssh2
2024-08-16T20:36:10.127665+00:00 linux sshd[4802]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 33038 ssh2
2024-08-16T20:36:15.144885+00:00 linux sshd[4806]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 36582 ssh2
2024-08-16T20:36:19.381695+00:00 linux sshd[4806]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 36582 ssh2
2024-08-16T20:36:22.818736+00:00 linux sshd[4806]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 36582 ssh2
2024-08-16T20:36:26.388462+00:00 linux sshd[4806]: Failed password for invalid u                                                                                                             ser oracle from 58.228.29.87 port 36582 ssh2
2024-08-16T20:36:32.200196+00:00 linux sshd[4808]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 39068 ssh2
2024-08-16T20:36:36.003884+00:00 linux sshd[4808]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 39068 ssh2
2024-08-16T20:36:38.811074+00:00 linux sshd[4808]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 39068 ssh2
2024-08-16T20:36:43.241473+00:00 linux sshd[4808]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 39068 ssh2
2024-08-16T20:36:46.387447+00:00 linux sshd[4808]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 39068 ssh2
2024-08-16T20:36:50.393042+00:00 linux sshd[4808]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 39068 ssh2
2024-08-16T20:36:55.631877+00:00 linux sshd[4810]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 42752 ssh2
2024-08-16T20:36:58.963070+00:00 linux sshd[4810]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 42752 ssh2
2024-08-16T20:37:01.773670+00:00 linux sshd[4810]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 42752 ssh2
2024-08-16T20:37:04.317924+00:00 linux sshd[4810]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 42752 ssh2
2024-08-16T20:37:08.129463+00:00 linux sshd[4810]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 42752 ssh2
2024-08-16T20:37:12.134893+00:00 linux sshd[4810]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 42752 ssh2
2024-08-16T20:37:17.374566+00:00 linux sshd[4812]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 46212 ssh2
2024-08-16T20:37:20.709818+00:00 linux sshd[4812]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 46212 ssh2
2024-08-16T20:37:24.186134+00:00 linux sshd[4812]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 46212 ssh2
2024-08-16T20:37:27.522614+00:00 linux sshd[4812]: Failed password for invalid u                                                                                                             ser usuario from 58.228.29.87 port 46212 ssh2
2024-08-16T20:37:32.130535+00:00 linux sshd[4814]: Failed password for invalid u                                                                                                             ser test from 58.228.29.87 port 48444 ssh2
